depth,rop,wob,torque,rpm,flow_rate,spp,quality
1000,45.2,25.5,12.3,120,450,2500,good
1050,42.8,24.8,11.9,118,445,2480,good
1100,48.5,26.2,13.1,125,455,2520,good
1150,35.6,22.1,10.5,110,430,2450,poor
1200,50.1,27.8,14.2,130,460,2550,good
1250,38.9,23.5,11.2,115,440,2470,fair
1300,46.7,25.9,12.8,122,450,2510,good
1350,40.2,24.1,11.5,117,443,2485,fair
1400,52.3,28.5,14.8,135,465,2575,excellent
1450,36.4,22.8,10.8,112,435,2460,poor
1500,49.8,27.1,13.6,128,458,2540,good
1550,44.3,25.3,12.5,121,448,2505,good
1600,41.5,24.5,11.7,116,442,2490,fair
1650,47.9,26.7,13.3,126,453,2530,good
1700,39.1,23.2,11.0,114,438,2475,fair
